date,num_patients
2017-04-01,30
2017-04-02,45
2017-04-03,65
2017-04-04,78
2017-04-05,71
2017-04-06,73
2017-04-07,68
2017-04-08,71
2017-04-09,61
2017-04-10,66
2017-04-11,60
2017-04-12,60
2017-04-13,63
2017-04-14,58
2017-04-15,59
2017-04-16,53
2017-04-17,51
2017-04-18,44
2017-04-19,46
2017-04-20,60
2017-04-21,68
2017-04-22,89
2017-04-23,97
2017-04-24,123
2017-04-25,137
2017-04-26,145
2017-04-27,147
2017-04-28,140
2017-04-29,130
2017-04-30,126
2017-05-01,139
2017-05-02,134
2017-05-03,134
2017-05-04,133
2017-05-05,135
2017-05-06,129
2017-05-07,132
2017-05-08,140
2017-05-09,143
2017-05-10,133
2017-05-11,128
2017-05-12,124
2017-05-13,133
2017-05-14,123
2017-05-15,135
2017-05-16,130
2017-05-17,135
2017-05-18,139
2017-05-19,135
2017-05-20,124
2017-05-21,120
2017-05-22,117
2017-05-23,120
2017-05-24,125
2017-05-25,119
2017-05-26,102
2017-05-27,110
2017-05-28,112
2017-05-29,111
2017-05-30,115
2017-05-31,105
2017-06-01,115
2017-06-02,114
2017-06-03,112
2017-06-04,117
2017-06-05,132
2017-06-06,132
2017-06-07,134
2017-06-08,144
2017-06-09,133
2017-06-10,122
2017-06-11,116
2017-06-12,111
2017-06-13,113
2017-06-14,110
2017-06-15,111
2017-06-16,105
2017-06-17,105
2017-06-18,105
2017-06-19,109
2017-06-20,115
2017-06-21,114
2017-06-22,116
2017-06-23,125
2017-06-24,133
2017-06-25,126
2017-06-26,138
2017-06-27,138
2017-06-28,132
2017-06-29,132
2017-06-30,126
2017-07-01,116
2017-07-02,119
2017-07-03,129
2017-07-04,134
2017-07-05,138
2017-07-06,137
2017-07-07,139
2017-07-08,131
2017-07-09,122
2017-07-10,136
2017-07-11,138
2017-07-12,141
2017-07-13,136
2017-07-14,136
2017-07-15,124
2017-07-16,115
2017-07-17,126
2017-07-18,135
2017-07-19,136
2017-07-20,132
2017-07-21,132
2017-07-22,117
2017-07-23,107
2017-07-24,113
2017-07-25,106
2017-07-26,124
2017-07-27,131
2017-07-28,128
2017-07-29,115
2017-07-30,114
2017-07-31,126
2017-08-01,133
2017-08-02,132
2017-08-03,126
2017-08-04,131
2017-08-05,125
2017-08-06,129
2017-08-07,137
2017-08-08,143
2017-08-09,120
2017-08-10,98
2017-08-11,80
2017-08-12,67
2017-08-13,70
2017-08-14,71
2017-08-15,70
2017-08-16,74
2017-08-17,80
2017-08-18,73
2017-08-19,64
2017-08-20,64
2017-08-21,83
2017-08-22,93
2017-08-23,104
2017-08-24,119
2017-08-25,134
2017-08-26,133
2017-08-27,130
2017-08-28,137
2017-08-29,135
2017-08-30,131
2017-08-31,139
2017-09-01,131
2017-09-02,122
2017-09-03,113
2017-09-04,120
2017-09-05,122
2017-09-06,126
2017-09-07,116
2017-09-08,118
2017-09-09,122
2017-09-10,115
2017-09-11,131
2017-09-12,138
2017-09-13,136
2017-09-14,139
2017-09-15,138
2017-09-16,143
2017-09-17,127
2017-09-18,139
2017-09-19,139
2017-09-20,124
2017-09-21,115
2017-09-22,115
2017-09-23,121
2017-09-24,114
2017-09-25,143
2017-09-26,142
2017-09-27,141
2017-09-28,136
2017-09-29,133
2017-09-30,120
2017-10-01,124
2017-10-02,142
2017-10-03,157
2017-10-04,170
2017-10-05,165
2017-10-06,157
2017-10-07,166
2017-10-08,161
2017-10-09,169
2017-10-10,163
2017-10-11,163
2017-10-12,150
2017-10-13,143
2017-10-14,138
2017-10-15,123
2017-10-16,133
2017-10-17,133
2017-10-18,111
2017-10-19,92
2017-10-20,97
2017-10-21,95
2017-10-22,94
2017-10-23,96
2017-10-24,100
2017-10-25,105
2017-10-26,112
2017-10-27,112
2017-10-28,122
2017-10-29,119
2017-10-30,138
2017-10-31,157
2017-11-01,163
2017-11-02,171
2017-11-03,171
2017-11-04,183
2017-11-05,173
2017-11-06,198
2017-11-07,194
2017-11-08,189
2017-11-09,179
2017-11-10,184
2017-11-11,178
2017-11-12,149
2017-11-13,170
2017-11-14,158
2017-11-15,157
2017-11-16,154
2017-11-17,161
2017-11-18,152
2017-11-19,146
2017-11-20,152
2017-11-21,162
2017-11-22,161
2017-11-23,162
2017-11-24,168
2017-11-25,173
2017-11-26,159
2017-11-27,157
2017-11-28,155
2017-11-29,162
2017-11-30,165
2017-12-01,166
2017-12-02,183
2017-12-03,184
2017-12-04,192
2017-12-05,211
2017-12-06,202
2017-12-07,210
2017-12-08,210
2017-12-09,207
2017-12-10,200
2017-12-11,190
2017-12-12,182
2017-12-13,162
2017-12-14,154
2017-12-15,147
2017-12-16,138
2017-12-17,127
2017-12-18,128
2017-12-19,116
2017-12-20,129
2017-12-21,138
2017-12-22,147
2017-12-23,148
2017-12-24,143
2017-12-25,147
2017-12-26,165
2017-12-27,161
2017-12-28,163
2017-12-29,163
2017-12-30,178
2017-12-31,171
2018-01-01,205
2018-01-02,207
2018-01-03,233
2018-01-04,244
2018-01-05,237
2018-01-06,245
2018-01-07,245
2018-01-08,240
2018-01-09,244
2018-01-10,249
2018-01-11,233
2018-01-12,234
2018-01-13,225
2018-01-14,180
2018-01-15,196
2018-01-16,211
2018-01-17,216
2018-01-18,187
2018-01-19,161
2018-01-20,147
2018-01-21,129
2018-01-22,121
2018-01-23,109
2018-01-24,105
2018-01-25,94
2018-01-26,84
2018-01-27,78
2018-01-28,76
2018-01-29,82
2018-01-30,80
2018-01-31,80
2018-02-01,105
2018-02-02,118
2018-02-03,99
2018-02-04,102
2018-02-05,108
2018-02-06,111
2018-02-07,121
2018-02-08,129
2018-02-09,147
2018-02-10,147
2018-02-11,150
2018-02-12,157
2018-02-13,175
2018-02-14,177
2018-02-15,185
2018-02-16,191
2018-02-17,183
2018-02-18,182
2018-02-19,203
2018-02-20,219
2018-02-21,213
2018-02-22,199
2018-02-23,199
2018-02-24,182
2018-02-25,160
2018-02-26,174
2018-02-27,169
2018-02-28,182
2018-03-01,167
2018-03-02,184
2018-03-03,165
2018-03-04,128
2018-03-05,147
2018-03-06,144
2018-03-07,136
2018-03-08,129
2018-03-09,126
2018-03-10,130
2018-03-11,130
2018-03-12,147
2018-03-13,145
2018-03-14,139
2018-03-15,134
2018-03-16,147
2018-03-17,145
2018-03-18,137
2018-03-19,156
2018-03-20,160
2018-03-21,157
2018-03-22,150
2018-03-23,148
2018-03-24,145
2018-03-25,140
2018-03-26,145
2018-03-27,152
2018-03-28,146
2018-03-29,132
2018-03-30,133
2018-03-31,125
2018-04-01,118
2018-04-02,135
2018-04-03,139
2018-04-04,145
2018-04-05,141
2018-04-06,157
2018-04-07,172
2018-04-08,172
2018-04-09,177
2018-04-10,191
2018-04-11,196
2018-04-12,191
2018-04-13,171
2018-04-14,133
2018-04-15,134
2018-04-16,135
2018-04-17,131
2018-04-18,112
2018-04-19,99
2018-04-20,105
2018-04-21,92
2018-04-22,92
2018-04-23,105
2018-04-24,105
2018-04-25,94
2018-04-26,87
2018-04-27,78
2018-04-28,70
2018-04-29,61
2018-04-30,63
2018-05-01,76
2018-05-02,90
2018-05-03,101
2018-05-04,100
2018-05-05,105
2018-05-06,87
2018-05-07,118
2018-05-08,131
2018-05-09,135
2018-05-10,140
2018-05-11,132
2018-05-12,123
2018-05-13,108
2018-05-14,115
2018-05-15,111
2018-05-16,108
2018-05-17,100
2018-05-18,98
2018-05-19,99
2018-05-20,97
2018-05-21,102
2018-05-22,114
2018-05-23,109
2018-05-24,121
2018-05-25,130
2018-05-26,111
2018-05-27,93
2018-05-28,105
2018-05-29,111
2018-05-30,109
2018-05-31,115
2018-06-01,137
2018-06-02,164
2018-06-03,144
2018-06-04,166
2018-06-05,173
2018-06-06,159
2018-06-07,137
2018-06-08,156
2018-06-09,146
2018-06-10,129
2018-06-11,137
2018-06-12,140
2018-06-13,151
2018-06-14,136
2018-06-15,122
2018-06-16,120
2018-06-17,110
2018-06-18,105
2018-06-19,97
2018-06-20,99
2018-06-21,99
2018-06-22,113
2018-06-23,113
2018-06-24,113
2018-06-25,126
2018-06-26,141
2018-06-27,136
2018-06-28,123
2018-06-29,127
2018-06-30,126
2018-07-01,118
2018-07-02,139
2018-07-03,153
2018-07-04,146
2018-07-05,141
2018-07-06,146
2018-07-07,144
2018-07-08,107
2018-07-09,127
2018-07-10,140
2018-07-11,134
2018-07-12,138
2018-07-13,130
2018-07-14,120
2018-07-15,109
2018-07-16,112
2018-07-17,118
2018-07-18,110
2018-07-19,103
2018-07-20,100
2018-07-21,104
2018-07-22,95
2018-07-23,99
2018-07-24,103
2018-07-25,117
2018-07-26,117
2018-07-27,107
2018-07-28,101
2018-07-29,104
2018-07-30,112
2018-07-31,97
2018-08-01,96
2018-08-02,108
2018-08-03,109
2018-08-04,104
2018-08-05,112
2018-08-06,118
2018-08-07,130
2018-08-08,125
2018-08-09,112
2018-08-10,135
2018-08-11,129
2018-08-12,121
2018-08-13,118
2018-08-14,101
2018-08-15,104
2018-08-16,113
2018-08-17,132
2018-08-18,131
2018-08-19,116
2018-08-20,139
2018-08-21,150
2018-08-22,159
2018-08-23,164
2018-08-24,150
2018-08-25,147
2018-08-26,132
2018-08-27,144
2018-08-28,128
2018-08-29,129
2018-08-30,129
2018-08-31,123
2018-09-01,115
2018-09-02,122
2018-09-03,127
2018-09-04,130
2018-09-05,133
2018-09-06,138
2018-09-07,143
2018-09-08,147
2018-09-09,146
2018-09-10,130
2018-09-11,152
2018-09-12,152
2018-09-13,155
2018-09-14,137
2018-09-15,129
2018-09-16,136
2018-09-17,150
2018-09-18,157
2018-09-19,151
2018-09-20,153
2018-09-21,164
2018-09-22,159
2018-09-23,153
2018-09-24,143
2018-09-25,165
2018-09-26,170
2018-09-27,173
2018-09-28,189
2018-09-29,186
2018-09-30,181
2018-10-01,175
2018-10-02,201
2018-10-03,198
2018-10-04,173
2018-10-05,151
2018-10-06,143
2018-10-07,127
2018-10-08,133
2018-10-09,141
2018-10-10,150
2018-10-11,133
2018-10-12,155
2018-10-13,161
2018-10-14,137
2018-10-15,162
2018-10-16,171
2018-10-17,173
2018-10-18,168
2018-10-19,166
2018-10-20,164
2018-10-21,154
2018-10-22,176
2018-10-23,162
2018-10-24,160
2018-10-25,160
2018-10-26,160
2018-10-27,155
2018-10-28,161
2018-10-29,176
2018-10-30,174
2018-10-31,178
2018-11-01,150
2018-11-02,179
2018-11-03,174
2018-11-04,167
2018-11-05,150
2018-11-06,149
2018-11-07,136
2018-11-08,132
2018-11-09,133
2018-11-10,140
2018-11-11,140
2018-11-12,138
2018-11-13,171
2018-11-14,144
2018-11-15,136
2018-11-16,143
2018-11-17,133
2018-11-18,115
2018-11-19,130
2018-11-20,153
2018-11-21,165
2018-11-22,168
2018-11-23,148
2018-11-24,141
2018-11-25,146
2018-11-26,171
2018-11-27,167
2018-11-28,169
2018-11-29,185
2018-11-30,181
2018-12-01,189
2018-12-02,204
2018-12-03,203
2018-12-04,204
2018-12-05,214
2018-12-06,203
2018-12-07,207
2018-12-08,203
2018-12-09,190
2018-12-10,197
2018-12-11,200
2018-12-12,204
2018-12-13,150
2018-12-14,139
2018-12-15,146
2018-12-16,135
2018-12-17,151
2018-12-18,155
2018-12-19,169
2018-12-20,183
2018-12-21,173
2018-12-22,152
2018-12-23,143
2018-12-24,145
2018-12-25,149
2018-12-26,147
2018-12-27,147
2018-12-28,146
2018-12-29,144
2018-12-30,143
2018-12-31,155
2019-01-01,151
2019-01-02,156
2019-01-03,191
2019-01-04,194
2019-01-05,203
2019-01-06,206
2019-01-07,200
2019-01-08,212
2019-01-09,207
2019-01-10,213
2019-01-11,181
2019-01-12,167
2019-01-13,163
2019-01-14,151
2019-01-15,164
2019-01-16,170
2019-01-17,168
2019-01-18,168
2019-01-19,170
2019-01-20,167
2019-01-21,169
2019-01-22,156
2019-01-23,169
2019-01-24,174
2019-01-25,202
2019-01-26,202
2019-01-27,187
2019-01-28,197
2019-01-29,198
2019-01-30,206
2019-01-31,210
2019-02-01,202
2019-02-02,226
2019-02-03,189
2019-02-04,229
2019-02-05,244
2019-02-06,240
2019-02-07,226
2019-02-08,226
2019-02-09,212
2019-02-10,196
2019-02-11,196
2019-02-12,193
2019-02-13,196
2019-02-14,172
2019-02-15,169
2019-02-16,159
2019-02-17,151
2019-02-18,167
2019-02-19,175
2019-02-20,185
2019-02-21,194
2019-02-22,199
2019-02-23,188
2019-02-24,178
2019-02-25,177
2019-02-26,167
2019-02-27,173
2019-02-28,178
2019-03-01,167
2019-03-02,195
2019-03-03,190
2019-03-04,180
2019-03-05,211
2019-03-06,207
2019-03-07,218
2019-03-08,197
2019-03-09,193
2019-03-10,185
2019-03-11,182
2019-03-12,196
2019-03-13,192
2019-03-14,147
2019-03-15,153
2019-03-16,145
2019-03-17,157
2019-03-18,165
2019-03-19,186
2019-03-20,176
2019-03-21,168
2019-03-22,177
2019-03-23,164
2019-03-24,152
2019-03-25,171
2019-03-26,151
2019-03-27,159
2019-03-28,170
2019-03-29,174
